State_FIPS,time_m,cpi
6,-197.0,0.10903441
6,-196.0,0.10966467
6,-195.0,0.10966467
6,-194.0,0.10966467
6,-193.0,0.10966467
6,-192.0,0.10966467
6,-191.0,0.10966467
6,-190.0,0.10966467
6,-189.0,0.11029493
6,-188.0,0.11029493
6,-187.0,0.11092518
6,-186.0,0.11155544
6,-185.0,0.11155544
6,-184.0,0.11155544
6,-183.0,0.11155544
6,-182.0,0.11155544
6,-181.0,0.1121857
6,-180.0,0.1121857
6,-179.0,0.1121857
6,-178.0,0.1121857
6,-177.0,0.1121857
6,-176.0,0.11281595
6,-175.0,0.114076465
6,-174.0,0.114076465
6,-173.0,0.114076465
6,-172.0,0.114076465
6,-171.0,0.114076465
6,-170.0,0.114076465
6,-169.0,0.114706725
6,-168.0,0.114706725
6,-167.0,0.114076465
6,-166.0,0.11533698
6,-165.0,0.11596724
6,-164.0,0.116597496
6,-163.0,0.11785801
6,-162.0,0.12479083
6,-161.0,0.12731186
6,-160.0,0.12857237
6,-159.0,0.1310934
6,-158.0,0.13424468
6,-157.0,0.1355052
6,-156.0,0.1355052
6,-155.0,0.1355052
6,-154.0,0.13802622
6,-153.0,0.13802622
6,-152.0,0.13802622
6,-151.0,0.13865647
6,-150.0,0.13991699
6,-149.0,0.14180776
6,-148.0,0.14495905
6,-147.0,0.14495905
6,-146.0,0.14558929
6,-145.0,0.14748007
6,-144.0,0.14937085
6,-141.0,0.15000111
6,-138.0,0.15378264
6,-135.0,0.15378264
6,-132.0,0.15126161
6,-129.0,0.15063137
6,-126.0,0.14937085
6,-123.0,0.14937085
6,-120.0,0.14811033
6,-117.0,0.14874059
6,-114.0,0.15189187
6,-111.0,0.15504315
6,-108.0,0.1600852
6,-105.0,0.16260624
6,-102.0,0.1632365
6,-99.0,0.16512726
6,-96.0,0.16701803
6,-93.0,0.16638777
6,-90.0,0.16827855
6,-87.0,0.16827855
6,-84.0,0.16764829
6,-81.0,0.16764829
6,-80.0,0.16827855
6,-79.0,0.1689088
6,-78.0,0.1689088
6,-77.0,0.16953906
6,-76.0,0.16953906
6,-75.0,0.17016931
6,-74.0,0.16953906
6,-72.0,0.16953906
6,-69.0,0.1689088
6,-68.0,0.16953906
6,-67.0,0.16953906
6,-66.0,0.16953906
6,-65.0,0.16953906
6,-64.0,0.1689088
6,-63.0,0.1689088
6,-62.0,0.1689088
6,-60.0,0.16827855
6,-57.0,0.16827855
6,-56.0,0.16827855
6,-55.0,0.16827855
6,-54.0,0.1689088
6,-53.0,0.1689088
6,-52.0,0.16953906
6,-51.0,0.16953906
6,-50.0,0.16953906
6,-48.0,0.1689088
6,-45.0,0.16953906
6,-44.0,0.17016931
6,-43.0,0.17142983
6,-42.0,0.17269035
6,-41.0,0.17206009
6,-40.0,0.17269035
6,-39.0,0.17332059
6,-38.0,0.17332059
6,-36.0,0.17395085
6,-33.0,0.17584163
6,-32.0,0.17647187
6,-31.0,0.17710213
6,-30.0,0.17836265
6,-29.0,0.17836265
6,-28.0,0.17836265
6,-27.0,0.17836265
6,-26.0,0.17899291
6,-24.0,0.18025342
6,-21.0,0.1821442
6,-20.0,0.1821442
6,-19.0,0.1821442
6,-18.0,0.18277445
6,-17.0,0.1821442
6,-16.0,0.1821442
6,-15.0,0.1821442
6,-14.0,0.18277445
6,-13.0,0.1821442
6,-12.0,0.18277445
6,-9.0,0.18277445
6,-7.0,0.1834047
6,-6.0,0.18403496
6,-5.0,0.18403496
6,-4.0,0.18466522
6,-3.0,0.18529548
6,-2.0,0.18529548
6,-1.0,0.18529548
6,0.0,0.18466522
6,3.0,0.18592574
6,4.0,0.18592574
6,5.0,0.186556
6,6.0,0.186556
6,7.0,0.186556
6,8.0,0.186556
6,9.0,0.1878165
6,10.0,0.1878165
6,12.0,0.1878165
6,15.0,0.1878165
6,16.0,0.1878165
6,17.0,0.1878165
6,18.0,0.18907702
6,19.0,0.18844676
6,20.0,0.18907702
6,21.0,0.18907702
6,22.0,0.18907702
6,24.0,0.18907702
6,27.0,0.19033752
6,28.0,0.19033752
6,29.0,0.19033752
6,30.0,0.19096778
6,31.0,0.19096778
6,32.0,0.19159804
6,33.0,0.19159804
6,34.0,0.19159804
6,35.0,0.19159804
6,36.0,0.19159804
6,37.0,0.19159804
6,38.0,0.1922283
6,39.0,0.1922283
6,40.0,0.1922283
6,41.0,0.19285856
6,42.0,0.19348882
6,43.0,0.19348882
6,44.0,0.19348882
6,45.0,0.19411907
6,46.0,0.19411907
6,47.0,0.19474933
6,48.0,0.19474933
6,49.0,0.19474933
6,50.0,0.19474933
6,51.0,0.19474933
6,52.0,0.19474933
6,53.0,0.19537959
6,54.0,0.19600983
6,55.0,0.19537959
6,56.0,0.19600983
6,57.0,0.19600983
6,58.0,0.1966401
6,59.0,0.1966401
6,60.0,0.1966401
6,61.0,0.1966401
6,62.0,0.19727035
6,63.0,0.19790062
6,64.0,0.19790062
6,65.0,0.19916111
